date,state,cams,live_now,stale_now,dead_now,live_now_pct,checks_14d,live_checks_14d,stale_checks_14d,dead_checks_14d,error_checks_14d,check_live_pct
2026-08-31,AK,1074,1005,5,64,93.6,42888,35328,187,4136,3237,89.1
2026-08-31,AZ,644,560,3,81,87,22878,22304,124,163,287,98.7
2026-08-31,CA,3442,2977,380,85,86.5,121572,117549,399,1809,1815,98.2
2026-08-31,HI,103,89,5,9,86.4,3842,3077,97,5,663,96.8
2026-08-31,NV,660,573,18,69,86.8,29145,22719,8,6235,183,78.4
2026-08-31,UT,2090,2090,0,0,100,18453,18436,3,0,14,100
2026-08-31,WA,1710,1097,538,75,64.2,64782,58409,225,3594,2554,93.9
2026-08-31,WI,491,491,0,0,100,17280,17276,0,0,4,100
2026-09-07,AK,1073,1010,13,50,94.1,39757,37486,252,343,1676,98.4
2026-09-07,AZ,644,562,2,80,87.3,23783,21360,72,1333,1018,93.8
2026-09-07,CA,3347,2527,36,784,75.5,125495,111269,4945,8971,310,88.9
2026-09-07,GA,4043,905,1678,1460,22.4,150713,88403,21661,16961,23688,69.6
2026-09-07,HI,102,90,3,9,88.2,3818,3362,88,0,368,97.4
2026-09-07,IA,1250,1121,4,125,89.7,31324,27637,249,38,3400,99
2026-09-07,ID,445,423,16,6,95.1,7350,7101,156,56,37,97.1
2026-09-07,NV,648,583,9,56,90,24109,21974,252,908,975,95
2026-09-07,UT,2091,2081,10,0,99.5,70478,70448,10,0,20,100
2026-09-07,WA,1713,1643,10,60,95.9,63649,61411,378,1072,788,97.7
2026-09-07,WI,489,489,0,0,100,18056,18052,0,0,4,100
2026-09-09,AK,1073,1012,10,51,94.3,38784,36409,283,493,1599,97.9
2026-09-09,AZ,644,565,1,78,87.7,23130,20111,91,1910,1018,91
2026-09-09,CA,3352,2539,28,785,75.7,123309,103464,5062,14592,191,84
2026-09-09,GA,4043,1920,1134,989,47.5,163961,81810,33214,25241,23696,58.3
2026-09-09,HI,102,76,17,9,74.5,3730,3216,107,0,407,96.8
2026-09-09,IA,1250,1090,42,118,87.2,41316,36501,368,55,4392,98.9
2026-09-09,ID,445,430,8,7,96.6,10470,10116,222,94,38,97
2026-09-09,NV,649,584,13,52,90,23526,20875,368,1308,975,92.6
2026-09-09,UT,2091,2080,10,1,99.5,76100,75995,71,11,23,99.9
2026-09-09,WA,1713,1641,14,58,95.8,62744,60267,426,1273,778,97.3
2026-09-09,WI,489,489,0,0,100,17479,17476,0,0,3,100
